"Єхидна (коротконоса, австралійська)",Родина Tachyglossidae,"Єхидна коротконоса австралійська, австралійська коротконоса єхдина, коротконоса австралійська єхидна",Tachyglossus aculeatus,"Схожі на велетенських їжаків, єхидни живуть в Австралії, а також на Тасманії та Новій Гвінеї. Живляться дрібними комахами. Раз на рік відкладають 1-2 яйця, які виношують у сумці на животі, що утворюється лише на час розмноження. Рятуючись від хижаків, закопуються в землю. ",http://uk.wikipedia.org/wiki/Єхидна_австралійська,imgs/38.jpg,До 1900-х,
Качконіс (качкодзьоб),Родина Ornithorhynchidae,,Ornithorhynchus anatinus,"Свою назву цей мешканець річок та озер Австралії та Тасманії  одержав за дивовижну мордочку, яка закінчується “качиним дзьобом”. Він допомагає тваринці в пошуках поживи. На кінцівках є плавальні перетинки, а в дорослих самців – і шпори, пов’язані з отрутними залозами. Живиться дрібними водяними тваринами. Раз на рік відкладає 1-3 яйця в норі.",http://uk.wikipedia.org/wiki/Качкодзьоб,imgs/8.jpg,До 1900-х,
Стрибунець лісовий,Родина Macroscelididae,Лісовий стрибунець,Petrodromus tetradactylus,"Ці, схожі на маленьких кенгуру, звірятка поширені тільки в Африці. Мешкають у саванах та розріджених лісах. Живляться комахами, яких розшукують за допомогою невеличких хоботків.",http://uk.wikipedia.org/wiki/Petrodromus_tetradactylus,imgs/85.jpg,До 1900-х,
Хохуля руська (звичайна),Родина Talpidae,"Звичайна хохуля, руська хохуля, хохуля руська",Desmana moschata,"Характерні мешканці заплавних озер та річок Східної Європи. Вони добре плавають та живляться дрібними тваринами та рослинами. Останнім часом чисельність хохулі швидко скорочується, і вони занесені до Червоної книги України та МСОП. В Україні вони відомі з заплав річок Десна та Сіверський Донець.",http://uk.wikipedia.org/wiki/Хохуля_руська,imgs/100.jpg,До 1900-х,
Шерстокрил,Родина Cynocephalidae,,Galeopterus (Cynocephalus) variegatus ,"Шерстокрили, які мешкають в Південно-Східній Азії, науковці вважають близькими до мавп та кажанів. Завдяки величезній літальній перетинці, яка охоплює все тіло від шиї до хвоста, вони здатні стрибати на відстань до 60 метрів. Живляться плодами.",http://uk.wikipedia.org/wiki/Малайський_шерстокрил,imgs/27.jpg,До 1900-х,
Смугач фінвал (оселедцевий),Родина Balaenopteridae,,Balaenoptera physalus,Належать до групи вусатих китів. Фінвали - другі за величиною ссавці сучасного світу. Довжина тіл цих велетнів досягає 28 метрів. Більшими за них є лише сині кити (Balaenoptera musculus). Розповсюдження всесвітнє.,http://uk.wikipedia.org/wiki/Смугач_фінвал,imgs/63.jpg,До 1900-х,Скелет
Кашалот тупоносий (звичайний),Родина Physeteridae,,Physeter macrocephalus (catodon),"Найбільші з сучасних зубатих китів. Довжина тіла самців досягає 18 метрів. Голова величезна (до 30% довжини тіла). На вузькій нижній шелепі 36-60 зубів, на верхній – зуби відсутні. Розповсюджені у помірних та холодних широтах Світового океану. Живляться рибою, кальмарами, восьминогами. Можуть пірнати на глибину до 2,5 кілометрів, знаходячись під водою до 1,5 години. Чисельність суттєво скоротилася внаслідок інтенсивного промислу в ХІХ-ХХ століттях.",http://uk.wikipedia.org/wiki/Кашалот,imgs/63+.jpg,До 1900-х,Скелет
Стеллерова морська корова,Родина Dugongidae,"Корова стеллерова морська, морська стеллерова корова, корова Стеллера, Стеллера корова, Стеллерова, морська корова Стеллера",Hydrodamalis gigas,"Трагічна доля цього виду. Описаний Г. Стеллером - лікарем експедиції мандрівника Берінга в 1741. Декілька сотень морських корів, яких науковці відносять до ряду сирен (Sirenia), мешкало в XVIII столітті у північній частині Тихого океану біля Командорських островів. Мирні велетні, довжиною до 10 метрів, живилися водорістю морською капустою (ламінарією) й не боялися людини. Під час освоєння Аляски та Камчатки на них почалося активне полювання. В 1768 було знищено останню особину цього виду. Нині в музеях світу зберігається близько 20 скелетів цих дивовижних істот.",http://uk.wikipedia.org/wiki/Морська_корова_Стеллера,imgs/2.jpg,До 1900-х,Скелет
Слон індійський,Родина Elephantidae,Індійський слон,Elephas maximus,"Індійський слон разом з африканським слоном (Loxodonta africana) є найбільшим із сучасних ссавців суходолу: вага може досягати 7 тонн. Живе в лісах Південної та Південно-Східної Азії. У більшості місць нині рідкісний вид, охороняється в заповідниках. Одомашнений. Цікаво, що його найближчим родичем є не африканський слон, а вимерлий мамонт.",http://uk.wikipedia.org/wiki/Слон_індійський,imgs/1.jpg,1960-і,"Скелет, череп"
Сніговий барс (ірбіс),Родина Felidae,Барс сніговий,Panthera (Uncia) uncia,Розповсюджений у горах на висоті 800-5000 метрів у Центральній Азії. Живиться гірськими козами та баранами. Чисельність неухильно знижується. Внесений до Червоної книги МСОП.,http://uk.wikipedia.org/wiki/Сніговий_барс,imgs/24.jpg,До 1900-х,1960
Бізон європейський (зубр),Родина Bovidae,Європейський бізон,Bison bonasus,Найбільші з наземних ссавців Європи. Занесені до Червоної Книги України.,http://uk.wikipedia.org/wiki/Зубр,,До 1900-х,
Акула - молот звичайна,Родина Sphyrnidae,"Молот - акула, молот-акула, акула-молот, акула молот, молот акула",Sphyrna zygaena,"Одна з найбільших морських істот. Отримала свою назву через незвичайну форму голови. Поширена в тропічних водах Тихого, Індійського й Атлантичного океанів.",http://uk.wikipedia.org/wiki/Акула-молот_звичайна,imgs/19.jpg,До 1900-х,
Панцерник кубинський,Родина Lepisosteidae,Кубинський панцерник,Atractosteus tristoechus,"Вважається ""сучасником динозаврів"", який дожив до наших днів. Мешкає у водоймах Південно-Західної Куби та острова Пінос. Хижаки виростають до 3-4 метрів.Тіло вкрите суцільним панциром із міцної луски. Ікра отруйна, м'ясо смачне і поживне.",http://en.wikipedia.org/wiki/Cuban_gar,imgs/143.jpg,До 1900-х,
Двокрил звичайний,Родина Exocoetidae,Звичайний двокрил,Exocoetus volitans,"Належить до летючих риб, характерною ознакою яких є здатність до польотів. Виплигнувши з води, летюча риба може пролітати над поверхнею води до 20 метрів.",http://en.wikipedia.org/wiki/Exocoetus_volitans,imgs/135.jpg,До 1900-х,
Причепа смугаста (звичайна),Родина Echeneidae,"Причепа звичайна смугаста, причепа смугаста звичайна, смугаста звичайна причерпа, звичайна смугаста причепа, звичайна причепа смугаста, смугаста причепа звичайна",Echeneis naucrates,"Риба має на голові велике присисальце у формі диска, за його допомогою причепи парами причіплюються до риб, черепах, китів.",http://uk.wikipedia.org/wiki/Причепа_смугаста,imgs/5.jpg,До 1900-х,
